Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Sean Burnett,- - -,367,8,0,2,0,0,25.00%,37.50%,0.167,0.667,0.333,0.5,0.5,0.442,,183,0,0.7,0.8,0.2,1886
Pedro Astacio,WSN,17,34,0,2,0,0,0.00%,23.50%,0,0.294,0.2,0.259,0.2,0.219,,26,0,-3.3,4,0.2,862
Sean Manaea,OAK,129,17,0,0,0,0,5.90%,23.50%,0.071,0.3,0.214,0.267,0.286,0.246,,64,0,-0.8,2,0.2,15873
Orlando Hernandez,- - -,57,108,0,5,5,3,0.90%,25.90%,0.053,0.242,0.17,0.179,0.223,0.176,,-3,0.6,-14,12.2,0.2,823
Robert Gsellman,NYM,180,72,0,3,4,0,11.10%,40.30%,0,0.207,0.105,0.224,0.105,0.172,,2,0,-8.9,8.4,0.2,13696
Billy Buckner,- - -,44,30,0,0,6,0,3.30%,26.70%,0.074,0.316,0.222,0.25,0.296,0.243,,37,0,-2.4,3.2,0.2,8253
Will Ohman,- - -,397,5,0,0,1,0,20.00%,20.00%,0,1,0.667,0.75,0.667,0.623,,269,0,1.1,0.6,0.2,296
Luis Perdomo,SDP,134,112,0,4,6,0,1.80%,35.70%,0.101,0.217,0.131,0.155,0.232,0.164,,-4,0,-14.8,12.9,0.2,14682
Daniel Norris,- - -,168,16,1,2,2,0,12.50%,31.30%,0.214,0.125,0.143,0.25,0.357,0.27,,71,0,-0.8,1.9,0.2,13475
Matthew Boyd,- - -,149,12,0,0,0,0,8.30%,33.30%,0,0.5,0.3,0.364,0.3,0.302,,95,0,-0.1,1.4,0.2,15440
Matt Peacock,ARI,35,17,0,3,2,1,5.90%,23.50%,0,0.333,0.25,0.294,0.25,0.248,,50,0.2,-0.9,2.1,0.2,20339
R.A. Dickey,- - -,326,305,0,13,16,0,1.30%,16.10%,0.011,0.203,0.165,0.181,0.177,0.161,,-7,-0.2,-39.6,31.8,0.2,1245
Sean Gilmartin,- - -,81,7,0,2,1,0,0.00%,42.90%,0.143,0.75,0.429,0.429,0.571,0.428,,175,0,0.7,0.7,0.2,12781
Sidney Ponson,- - -,65,24,0,1,1,0,12.50%,33.30%,0,0.429,0.2,0.333,0.2,0.266,,55,-0.4,-1.9,2.8,0.2,161
Dylan Cease,CHW,58,8,0,1,0,0,0.00%,37.50%,0.125,0.6,0.375,0.375,0.5,0.375,,140,0,0.4,1,0.2,18525
Mark Rogers,MIL,12,18,0,2,0,0,0.00%,33.30%,0.125,0.4,0.25,0.25,0.375,0.268,,60,0,-0.9,1.9,0.2,4083
Daisuke Matsuzaka,- - -,158,45,0,0,3,0,2.20%,35.60%,0,0.333,0.189,0.211,0.189,0.182,,20,0,-4.6,4.6,0.2,7775
Marco Estrada,- - -,283,162,0,4,7,0,4.30%,39.50%,0.03,0.268,0.141,0.183,0.17,0.163,,-5,-0.1,-20,16.6,0.2,1118
Gustavo Chacin,- - -,66,1,1,1,1,0,0.00%,0.00%,3,0,1,1,4,2.072,,1265,0,1.4,0.1,0.2,2060
Tim Stauffer,- - -,187,136,0,6,11,0,2.90%,39.00%,0.017,0.281,0.155,0.189,0.172,0.167,,1,-0.1,-16,13.5,0.2,6432
Brandon Dickson,STL,10,5,0,2,0,0,0.00%,40.00%,0,1,0.6,0.6,0.6,0.533,,247,0,0.8,0.5,0.2,6979
Nelson Figueroa,- - -,71,72,0,2,3,0,4.20%,26.40%,0.05,0.244,0.167,0.206,0.217,0.193,,7,0,-8.2,7.4,0.2,683
C.J. Wilson,- - -,421,36,0,3,0,0,8.30%,27.80%,0.069,0.211,0.138,0.219,0.207,0.198,,21,0,-3.5,3.6,0.1,3580
Tim Cooney,STL,6,11,0,1,0,0,0.00%,0.00%,0.1,0.3,0.3,0.3,0.4,0.302,,91,0,-0.1,1.1,0.1,13762
Brandon Duckworth,KCR,43,5,0,1,0,0,0.00%,0.00%,0.25,0.5,0.5,0.5,0.75,0.534,,216,0,0.7,0.6,0.1,954
Josh Geer,SDP,24,41,0,3,2,0,7.30%,34.10%,0.03,0.263,0.152,0.222,0.182,0.193,,16,0,-4.3,4.4,0.1,4781
James Parr,ATL,14,11,0,1,0,0,18.20%,45.50%,0.111,0.5,0.222,0.364,0.333,0.325,,97,0,-0.1,1.2,0.1,7734
Aaron Cook,- - -,191,351,0,19,14,0,4.80%,27.90%,0.025,0.238,0.155,0.208,0.18,0.183,,-8,-0.2,-47.4,37.7,0.1,1571
J.D. Durbin,- - -,19,22,0,3,0,0,0.00%,22.70%,0.053,0.357,0.263,0.263,0.316,0.255,,43,0,-1.6,2.4,0.1,7992
Alexi Ogando,- - -,284,6,0,1,0,0,0.00%,50.00%,0,1,0.5,0.5,0.5,0.445,,183,0,0.5,0.6,0.1,10261
Steve Trachsel,- - -,69,71,1,4,2,0,5.60%,23.90%,0.065,0.159,0.129,0.194,0.194,0.181,,2,0,-9.2,8.3,0.1,898
Kolby Allard,- - -,55,7,0,1,0,0,0.00%,14.30%,0,0.25,0.2,0.2,0.2,0.176,,145,0,0.3,0.8,0.1,18694
Mark Worrell,- - -,8,2,1,1,3,0,0.00%,0.00%,1.5,0,0.5,0.5,2,1.012,,548,0,1.1,0.2,0.1,8045
Ryan Weathers,SDP,32,28,1,3,1,0,3.60%,25.00%,0.111,0.158,0.148,0.179,0.259,0.191,,19,0,-2.9,3.4,0.1,23796
Julio Teheran,- - -,248,463,1,10,26,0,1.90%,24.20%,0.024,0.202,0.147,0.169,0.17,0.153,,-14,-0.2,-64.3,51,0.1,6797
Chris Michalak,CIN,8,11,0,0,0,0,9.10%,45.50%,0.125,0.667,0.25,0.333,0.375,0.315,,83,0,-0.2,1.3,0.1,1415
Jon Lester,- - -,458,423,4,27,31,1,5.00%,38.30%,0.06,0.188,0.115,0.162,0.175,0.153,,-14,0.1,-59.8,48.2,0.1,4930
