"Name","Team","Level","Age","PA","BB.","K.","BB.K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC.","mYear","playerid","zAge"
"Jermaine Clark","MIL","AAA",29,429,0.11188811,0.16783217,0.66666667,0.23466667,0.31934732,0.32,0.63934732,0.08533333,6.920046172,0.27392739,3.995454788,38.52339581,-15.61863753,0.29544987,71.1524733,2006,1664,0.652813749289469
"Enrique Cruz","TEX","AA",24,383,0.06527415,0.27415144,0.23809524,0.26857143,0.32275132,0.37142857,0.69417989,0.10285714,4.20407084,0.37344398,-1.278550764,40.68961896,-8.018633723,0.315869012,83.53979369,2006,1673,-0.13182869162157
"Tim Laker","CLE","AAA",36,206,0.0631068,0.24271845,0.26,0.20744681,0.26470588,0.28191489,0.54662077,0.07446808,2.402472518,0.28057554,-0.070836451,11.80906879,-11.17393234,0.253038357,51.38175262,2006,1681,2.81790481710979
"Jose Morban","SEA","AAA",26,92,0.11956522,0.2826087,0.42307692,0.24358974,0.35164835,0.38461538,0.73626373,0.14102564,6.690434138,0.35294118,-0.91469177,11.54149178,-0.069387164,0.338251696,99.40239525,2006,1682,-0.275082422633527
"Robby Hammock","ARI","AAA",29,405,0.05925926,0.14567901,0.40677966,0.2899729,0.34158416,0.51490515,0.85648931,0.22493225,3.022064912,0.29591837,-0.446910039,62.06878315,10.95567475,0.371632338,121.4341782,2006,1686,0.652813749289469
"Nathan Haynes","LAA","AAA",26,299,0.08695652,0.21404682,0.40625,0.26893939,0.33673469,0.39772727,0.73446196,0.12878788,8.135016178,0.34170854,-0.921922971,35.32897343,-2.689667055,0.330147379,92.8752379,2006,17,-0.275082422633527
"Jason Ellison","SFG","AAA",28,211,0.06635071,0.09478673,0.7,0.40625,0.45238095,0.53645833,0.98883928,0.13020833,6.019834779,0.44767442,-0.337382524,44.55716786,17.92786941,0.441160382,167.3238517,2006,1704,0.343515025315137
"Miguel Ojeda","TEX","AAA",31,119,0.1512605,0.1512605,1,0.31313131,0.41525424,0.45454545,0.86979969,0.14141414,5.039479403,0.3625,0.214902948,20.13959974,5.121180234,0.390865325,134.0993287,2006,1712,1.27141119723813
"Jeff Duncan","LAD","AAA",27,321,0.09968847,0.17133956,0.58181818,0.29856115,0.384375,0.41366906,0.79804406,0.11510791,6.799181229,0.35159817,1.149836376,47.06538503,6.553513934,0.363666776,116.1767743,2006,1715,0.0342163013408052
"Carlos Mendez","ATL","AAA",32,380,0.01315789,0.09210526,0.14285714,0.28961749,0.2989418,0.36612022,0.66506202,0.07650273,1.37257957,0.30513595,-0.75154293,34.66875724,-7.727070082,0.296877162,81.77398445,2006,1716,1.58070992121246
"Ray Olmedo","CIN","AAA",25,430,0.07906977,0.16511628,0.47887324,0.28198433,0.3436019,0.37336815,0.71697005,0.09138382,5.611317881,0.33762058,0.835800699,49.14632889,1.17210324,0.326691143,102.4431937,2006,1718,-0.584381146607858
"Bubba Crosby","NYY","AAA",29,98,0.1122449,0.16326531,0.6875,0.23809524,0.34693878,0.39285714,0.73979592,0.1547619,7.965965641,0.27272727,1.353956328,12.23184265,1.298181915,0.340293396,111.8732595,2006,1722,0.652813749289469
